open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2023-01-01 00:00:00,16537.5,16540.9,16504.0,16527.0,5381.399,2023-01-01 00:59:59.999,88923087.8321,31529,2541.791,42000649.27240,0
2023-01-01 01:00:00,16527.1,16554.3,16524.1,16550.4,3210.826,2023-01-01 01:59:59.999,53098548.7544,19787,1933.859,31982248.92900,0
2023-01-01 02:00:00,16550.5,16557.1,16534.8,16542.4,2399.668,2023-01-01 02:59:59.999,39704662.6773,15720,1156.721,19138960.92470,0
2023-01-01 03:00:00,16542.5,16542.5,16515.0,16529.3,3214.48,2023-01-01 03:59:59.999,53120600.934,19341,1430.403,23637732.16210,0
2023-01-01 04:00:00,16529.2,16530.4,16508.8,16517.8,3150.954,2023-01-01 04:59:59.999,52048231.8487,20937,1583.098,26150126.58160,0
2023-01-01 05:00:00,16517.8,16531.1,16508.0,16525.7,3268.293,2023-01-01 05:59:59.999,53976906.1162,18908,1578.995,26079452.13890,0
2023-01-01 06:00:00,16525.6,16545.7,16525.6,16535.3,2726.582,2023-01-01 06:59:59.999,45090264.4477,17606,1340.462,22167277.24720,0
2023-01-01 07:00:00,16535.3,16537.5,16488.0,16519.6,8852.672,2023-01-01 07:59:59.999,146166430.7087,36399,3911.189,64580552.98870,0
2023-01-01 08:00:00,16519.5,16524.9,16502.0,16504.2,3289.761,2023-01-01 08:59:59.999,54320341.5947,21586,1313.228,21683585.49070,0
2023-01-01 09:00:00,16504.3,16536.1,16496.8,16532.7,3948.702,2023-01-01 09:59:59.999,65217230.1976,26147,2127.739,35143996.94670,0
2023-01-01 10:00:00,16532.7,16542.9,16527.3,16542.8,4110.425,2023-01-01 10:59:59.999,67964331.2539,21729,2012.438,33275735.39670,0
2023-01-01 11:00:00,16542.9,16549.8,16535.1,16549.8,3768.388,2023-01-01 11:59:59.999,62340191.561,22386,1939.090,32079075.17690,0
2023-01-01 12:00:00,16549.8,16565.9,16542.9,16553.9,5482.001,2023-01-01 12:59:59.999,90744679.2423,28280,2548.225,42182805.80110,0
2023-01-01 13:00:00,16553.8,16559.8,16530.5,16539.9,4505.256,2023-01-01 13:59:59.999,74527749.1455,24250,1971.139,32606322.87960,0
2023-01-01 14:00:00,16539.9,16549.7,16533.1,16533.1,2448.444,2023-01-01 14:59:59.999,40503002.3382,18363,1175.123,19439837.33400,0
2023-01-01 15:00:00,16533.2,16553.1,16524.6,16553.1,3107.183,2023-01-01 15:59:59.999,51385027.6074,19408,1786.176,29541345.63540,0
2023-01-01 16:00:00,16553.0,16579.0,16552.6,16556.0,7482.092,2023-01-01 16:59:59.999,123929105.3393,37350,4177.482,69195765.20630,0
2023-01-01 17:00:00,16556.1,16589.4,16555.5,16573.1,6126.892,2023-01-01 17:59:59.999,101553540.0821,31957,3353.049,55576781.22790,0
2023-01-01 18:00:00,16573.1,16597.0,16573.0,16584.3,4955.635,2023-01-01 18:59:59.999,82199321.9401,26757,2603.403,43182654.53820,0
2023-01-01 19:00:00,16584.3,16615.8,16584.2,16596.1,7406.797,2023-01-01 19:59:59.999,122974267.8525,37463,4065.484,67500264.32410,0
2023-01-01 20:00:00,16596.1,16618.8,16592.0,16593.8,4951.995,2023-01-01 20:59:59.999,82228731.1405,28762,2369.029,39339458.14380,0
2023-01-01 21:00:00,16593.7,16599.7,16584.1,16597.6,3040.626,2023-01-01 21:59:59.999,50451079.8664,21602,1297.005,21520684.94560,0
2023-01-01 22:00:00,16597.6,16605.4,16579.1,16594.4,3633.682,2023-01-01 22:59:59.999,60289616.8169,22001,1871.039,31044201.61380,0
2023-01-01 23:00:00,16594.4,16617.4,16594.4,16610.3,5040.212,2023-01-01 23:59:59.999,83692900.4417,26031,2531.342,42033191.91850,0
2023-01-02 00:00:00,16610.4,16618.4,16572.9,16578.0,5774.202,2023-01-02 00:59:59.999,95811324.3103,31939,2375.994,39425381.53800,0
2023-01-02 01:00:00,16578.0,16579.3,16541.2,16556.5,9532.229,2023-01-02 01:59:59.999,157820380.9028,41242,4196.044,69471273.19510,0
